Agency,Platform,Url,Date Sampled,Likes
nycgov,Google+,https://plus.google.com/u/0/b/104030911277642419611/104030911277642419611/posts/p/pub,12/12/2012 0:00,
TLC,Facebook,http://www.facebook.com/pages/NYC-Taxi-and-Limousine-Commission/101679939900978?v=wall,12/12/2012 0:00,505
DRIS,YouTube,http://www.youtube.com/nycdeptofrecords,12/12/2012 0:00,
Veteran's Affairs,Youtube,http://www.youtube.com/channel/UCi6IvOszIb3hHPMUsaNKyXA,12/12/2012 0:00,
NYC Water,Youtube,http://www.youtube.com/nycwater,12/12/2012 0:00,
NYC Gov,YouTube,http://www.youtube.com/nycgov,12/12/2012 0:00,
MOAE,YouTube,http://www.youtube.com/YouCanTooNYC,12/12/2012 0:00,3
Mayor's Fund,Youtube,http://www.youtube.com/mayorsfundnyc,12/12/2012 0:00,
Materials for the Arts,YouTube,http://www.youtube.com/user/MaterialsForTheArts,12/12/2012 0:00,
DSNY,YouTube,http://www.youtube.com/nycrecyclemore,12/12/2012 0:00,1
DOH,Youtube,http://www.youtube.com/user/drinkingsugar,12/12/2012 0:00,143
DOC,YouTube,http://www.youtube.com/user/OFFICIALNYCDOC,12/12/2012 0:00,
DCA,YouTube,http://www.youtube.com/nycdca,12/12/2012 0:00,
DOH,Android,Condom Finder,12/12/2012 0:00,
DOT,Android,You The Man,12/12/2012 0:00,
MOME,Android,MiNY Venor app,12/12/2012 0:00,343
DOT,Broadcastr,,12/12/2012 0:00,
DPR,Broadcastr,http://beta.broadcastr.com/Echo.html?audioId=670026-4001,12/12/2012 0:00,
ENDHT,Facebook,http://www.facebook.com/pages/NYC-Lets-End-Human-Trafficking/125730490795659?sk=wall,12/12/2012 0:00,5
VAC,Facebook,https://www.facebook.com/pages/NYC-Voter-Assistance-Commission/110226709012110,12/12/2012 0:00,42
PlaNYC,Facebook,http://www.facebook.com/pages/New-York-NY/PlaNYC/160454173971169?ref=ts,12/12/2012 0:00,60
DFTA,Facebook,http://www.facebook.com/pages/NYC-Department-for-the-Aging/109028655823590,12/12/2012 0:00,118
energyNYC,Facebook,http://www.facebook.com/EnergyNYC?sk=wall,12/12/2012 0:00,145
MOIA,Facebook,http://www.facebook.com/ihwnyc,12/12/2012 0:00,132
City Store,Facebook,http://www.facebook.com/citystorenyc,12/12/2012 0:00,168
OCDV,Facebook,http://www.facebook.com/pages/NYC-Healthy-Relationship-Training-Academy/134637829901065,12/12/2012 0:00,299
HIA,Facebook,http://www.facebook.com/pages/New-York-City-Health-Insurance-Link/145920551598,12/12/2012 0:00,219
MOPD,Facebook,http://www.facebook.com/pages/New-York-City-Mayors-Office-for-People-with-Disabilities/145237285504681?sk=wall,12/12/2012 0:00,244
DOB: UrbanCanvas,Facebook,http://www.facebook.com/NYCurbancanvas,12/12/2012 0:00,216
DOT,Facebook,http://www.facebook.com/JanetteSadikKhan,12/12/2012 0:00,307
HRA,Facebook,http://www.facebook.com/#!/pages/New-York-NY/NYC-DADS/111504588886342,12/12/2012 0:00,236
MOPD,Facebook,http://www.facebook.com/profile.php?id=1570569347,12/12/2012 0:00,244
DFTA,Facebook,http://www.facebook.com/timebanksnyc,12/12/2012 0:00,260
DOB: Cool Roofs,Facebook,http://www.facebook.com/coolroofs?sk=wall,12/12/2012 0:00,276
NYC & Co,Facebook,http://www.facebook.com/nycgo.nl,12/12/2012 0:00,284
MOIA,Facebook,http://www.facebook.com/pages/NYC-Mayors-Office-of-Immigrant-Affairs/118622031512497,12/12/2012 0:00,291
CAU,Facebook,http://www.facebook.com/NYCMayorsCAU,12/12/2012 0:00,289
DOITT,Facebook,http://www.facebook.com/pages/New-York-NY/NYC-INFORMATION-TECHNOLOGY-TELECOMMUNICATIONS/104786059565184,12/12/2012 0:00,284
